generation,id,novelty,score,species,parent1,parent2
0,367,74.94711156480547,0.7539581335545679,1,-1,-1
1,908,15.664330165589682,0.7609775514697047,3,367,5
2,1441,6.574590859661309,0.7603940762521437,4,764,787
3,1649,6.744144156914195,0.7599193776161095,1,1043,1280
4,2054,7.960399932088672,0.7596245641899685,5,1530,1510
5,2518,6.969944364826193,0.7607812713450586,3,2157,2166
6,2952,8.527158883056774,0.75904590235142,1,2606,2565
7,3811,10.060486422967504,0.7571902552147937,4,3254,3254
8,3937,7.272342641268932,0.7604549900862582,5,3022,3557
9,4559,10.890431171635852,0.7543845214974216,5,3954,3938
10,4950,15.227095328471624,0.7620571097560295,5,4568,4578
11,5442,5.7250942311273745,0.7590020315068035,5,4918,4992
12,6120,7.243585303725031,0.7603706791156926,1,4734,5865
13,6439,7.33406437407112,0.7602905281859746,5,5435,6048
14,6970,9.891596000979613,0.7601312775902506,5,6476,6397
15,7740,7.2448199305323495,0.7611165740987031,3,7196,6686
16,8205,9.818073921377827,0.7589810902748146,3,7733,7822
17,8366,6.78939946546059,0.7608415272614478,5,7890,7887
18,8906,7.89916472654614,0.7615940085272166,5,8426,8373
19,9424,8.047015444944654,0.7617258473499793,1,9028,9028
20,9867,10.027275548440995,0.7557811353076861,5,8879,9491
21,10327,6.712297721707257,0.7612750342033097,3,9842,10081
22,10995,6.345484223249395,0.759807777076976,3,10600,10087
23,11484,3.163257021787766,0.7598869224989331,3,10980,11067
24,12014,10.878837375375316,0.7586685084932845,3,4734,11587
25,12501,5.830853720786893,0.7620094410040901,3,11985,11995
26,13006,10.667176449238507,0.754609712408212,3,12508,12507
27,13633,62.272353951639765,0.8575765522278098,4,13218,10791
28,13964,10.820681328385746,0.7582985520375536,3,13539,13539
29,14294,7.789587926946696,0.7586110275703063,5,13755,13825
30,15042,8.9294277734621,0.7599362946702504,3,13836,14437
31,15378,9.062438811880334,0.7616164892233929,3,15068,15068
32,15825,8.662716730428961,0.7616215045852177,3,15250,15281
33,16360,8.137813567689124,0.7535654207530931,3,15850,15775
34,16959,11.276069662962794,0.7531084554408675,3,16396,16482
35,17343,13.54653567367947,0.7602358340616004,3,16702,16895
36,17828,8.685575274365476,0.7600217087666143,3,12962,17353
37,18376,13.373989234063325,0.7578357223411372,1,17484,17803
38,18670,6.570349710254686,0.7627322953214798,5,18162,18174
39,19393,8.091331415564376,0.7616059412642908,3,18744,18743
40,19791,8.332846189548738,0.7612810458895819,3,19333,19325
41,20170,9.227701572872915,0.7602219771522304,5,18700,19630
42,20604,7.623359440705074,0.7551547835418164,3,20158,20133
43,21117,9.2359393873827,0.7597702470461863,5,18700,18700
44,21596,6.595917602957467,0.7618509538108893,3,21236,21236
45,22236,6.394014934169258,0.7595704275068481,3,21618,21619
46,22735,6.634960023523435,0.7580330077234986,3,12962,22204
47,23230,7.0109153445257055,0.7602758784623813,3,22654,22600
48,23935,9.454511053031982,0.7618131528880014,3,23191,23226
49,24182,9.956432718334153,0.7588629583191265,3,23668,23650
50,24541,8.223604293627716,0.7612628837103453,5,24062,24037
